,Education,"Arts, entertainment, recreation & other services",Year 2020: One person households: Female ratio,Year 2020: One person households: Male ratio,Year 2020: Households with dependent children ratio,pop_ratio_under_10,pop_ratio_teenager,pop_ratio_20_39,pop_ratio_40_60,pop_ratio_60_80,pop_ratio_80_90+
169,0.3053208271122469,0.2012959943102413,0.7093617122548225,-0.43907446695260177,-0.1363081617803225,-0.9052489116140461,0.6558703044278492,-1.19877038564639,1.267735583359894,0.7338877272850789,1.2046244349989965
170,-0.65250633820322,-0.5145316704618302,0.6268758282167961,0.9593724135716422,-0.994563577816831,-1.1663516745499132,-1.0339239506409805,-0.8009763137605085,0.44412287549771357,1.1343835902921653,0.9766308508373468
171,2.8063139809915216,3.1525153139845714,0.2076180324843935,2.7217024504724705,-1.8790117943903826,-0.8107348775342913,-2.188617985411284,4.169804837136984,-2.5620665858972993,-2.390529116455925,-2.3846391891112644
172,-0.5460810976126126,-0.5898819509641535,-0.30376036740393786,-0.024515445226932997,0.22738092706351914,-0.2270366191155823,-0.06846736381409378,-0.2679885838008896,0.08656122767633789,-0.022545925023497216,-0.08272593919384719
173,-0.12038013525018283,-0.12522188786649308,-0.17112796574432368,-0.6713537998632545,0.5652907294928317,-0.01089185129949662,0.3739193774881655,-0.40711578976279544,0.6670843457048156,0.18271658567326998,-0.08272593919384719
174,3.391652804239863,2.574829830133426,0.08744359949013089,-0.9984726581673504,0.6164553377096452,-0.1707315186393615,0.312585143656042,-0.6600466582824946,0.6381335486210481,0.4096141568198839,0.4277460509696166
175,-0.5460810976126126,-0.5522068107129919,0.06772444998907791,0.07022885074352342,-0.06651026214501958,-0.2406913555703697,-0.7390591539038134,-0.5663858250131315,0.5746896089429111,0.6500904819569919,0.19255155879447458
176,-0.65250633820322,-0.5270900505455508,0.41272782342424935,0.3015938603378032,-0.43273037580515394,-0.9321187119157914,-0.8658565994587546,-0.46081165846891164,1.1179755411533367,0.672663065919905,-0.1507121394114297
177,0.4649586879981581,0.2012959943102413,-0.2566874577106346,-0.08575108241637479,0.23779084826109265,0.2583437756252728,0.050761528166109904,0.0927728278858072,-0.25335520429275427,0.011439213857180509,-0.2912786580312338
178,-0.5992937179079163,-0.4894149102943891,0.06623472564806565,0.7432184902733601,-0.5034238942241086,-0.12316877653094993,0.3376604094044701,0.677443200268065,-0.333684340247463,-0.525011843173547,-0.4794021597556555
179,-0.7589315787938274,-0.45173977004322746,0.28598519878519946,2.234514001401808,-1.6110433216823097,0.23773889890781627,-0.3361578592489692,-0.24796987458983188,0.1290632039457808,0.23092433160786258,0.09187963711044647
180,-0.7057189584985237,-0.42662300987578633,0.11790989197254147,0.7760005356659728,-0.5570589025208532,-0.133465470569521,0.16297633442570608,-0.2679885838008896,0.28601425102754063,0.1615631415612375,0.2529080023652826
181,0.2521082068169432,-0.06242998744789031,-0.3912900068932648,-0.18406993910790895,0.38590977769223833,0.19144433177047696,0.2954729565666309,0.9091238018538758,-0.8066718275924408,-0.6604911092680101,-0.6236365703261647
182,0.2521082068169432,-0.024754847196728644,0.46299522469501575,-1.0655514269498096,0.425303187490382,-0.4922594750401283,2.0104205660591354,-0.6086339642986515,0.29715944378246995,0.13718825280311484,0.7495637135227005
183,-0.12038013525018283,0.038037053221874124,2.5457691020781525,-0.10578714147182844,-1.5012585203520556,-0.9940322484940408,-0.9220796093643031,-1.1172508784358934,-0.35954190057304447,1.4182057250687585,2.1025032634425638
184,-0.22680537584079027,-0.3261559692060219,1.4260799670650528,1.2075635478323534,-1.6556952405185994,-0.4293978391152856,0.23294785049015143,0.29749476899068944,-0.32570620665852446,-0.2145664993931944,0.3993029074779804
185,0.4117460677028544,0.00036191297071246217,-0.2985346974107219,-0.48409627889546686,0.5231157440752459,0.0812684078362065,0.1649479395326359,-0.03658057886141706,0.5504732114742674,-0.22364876576131673,-0.006149094475304858
186,-0.22680537584079027,-0.049871607364169755,-0.6755103462501357,1.0411694977214188,-0.2335338207292501,-0.026228375270599236,0.9981505119258118,1.795692877579777,-1.7809060549392683,-1.2435232654302666,-1.0892913019917037
187,-0.5992937179079163,-0.5522068107129919,-0.7112935291143202,-1.1899917995254328,1.24042440214131,0.9386427163768035,0.42516842882736566,0.028910056637026754,0.3863899722676218,-0.5683374605635246,-0.08422453389528008
188,-1.024994680270346,-0.7154657518013591,-0.14495834375984926,0.535090944353744,-0.23597967671482853,0.1489906161011773,0.5988555114775114,-0.2895291421401749,0.9353887265525053,0.028532155045357614,-0.7442413476794022
189,-0.17359275554548656,-0.16289702811765475,1.000562255750276,-0.4709913703985332,-0.29760055110757894,-1.4081253473131055,1.0565649089405935,1.0562956553649767,-2.506957323369298,-0.016394399560893898,0.3352751851377919
190,-0.17359275554548656,-0.3889478696246247,-0.022988290859020193,-1.05385257603124,0.721526924429657,-0.5469731081273466,0.47190512734417905,-0.3409594500985292,0.6568740435232626,0.11590843484016013,0.4323229327668579
191,0.2521082068169432,0.1510624739753591,0.18637334290554872,0.9544440005960023,-0.7159567542160462,0.21118145542571518,0.43318252910541566,-0.268631785048241,0.7643036348177041,0.0232925646185805,-0.5306172081454021
192,-0.33323061643139773,-0.3638311094571836,-0.16907004959070088,-0.18406993910790895,-0.07771477311968725,-0.2792939460889498,0.3240028634966696,0.09539116707773171,-0.03231139400180844,0.10544878500625637,-0.48330948177955513
193,-0.43965585702200516,-0.23824730861997806,2.4355499287471147,-0.43991217287248147,-1.2149692048515455,-1.3301039752376456,-1.4114128417927958,-1.3210658620898958,-0.7403271669879429,1.8611932651502514,2.705625546709301
194,-0.22680537584079027,-0.3889478696246247,-0.43667194581639535,-0.6468916543529645,0.7153927794692079,-0.2270366191155823,-0.17952434906856743,-0.7052434379116083,0.7466348524248231,0.3990878003946758,0.8963587638240534
195,0.8374470300652841,1.0050323196683568,0.7649348125873227,0.16957041977911305,-0.5670347469235817,-1.2443310749386192,-0.7412779207917575,-0.7814783990564689,0.4084352243205049,1.0965092029090344,0.9561105226977726
196,-0.013954894659575395,-0.024754847196728644,0.6230962981425956,0.4778640152715771,-0.6789327387996825,-0.39582929802136574,-0.5888180072782924,0.23947030923187196,-0.35252390980710113,0.24095306043378953,-0.2703428591004936
