,Scores
Robbery ratio,0.07590540176500718
Theft offences ratio,0.5496882407360886
Criminal damage and arson ratio,-0.6824066708569164
Drug offences ratio,0.09502867465721983
Total Employee All (thousands),0.15751870828445297
Total_Threaten_or_is_Homeless,-0.2881816085381191
