,RF Importance
Robbery ratio,0.09771709976784615
Theft offences ratio,0.24002554230125275
Criminal damage and arson ratio,0.09844317733798122
Drug offences ratio,0.1717881004132154
Total Employee All (thousands),0.2255386285780546
Total_Threaten_or_is_Homeless,0.16648745160164982
