,health_sector_size_ratio_to_households,retail_sector_size_ratio_to_households,taxi_only_licensed_drivers_ratio_to_households,total_drivers_ratio_to_households,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,Male life expectancy at birth (2012/2020)4,Female life expectancy at birth (2020)4
43,0.04972963637530362,0.05100240489483054,0.06545233877112783,0.19068989175756387,-0.6932052255273925,1.3290707701372577,1.0268094453344578,0.25751551639483183,0.7696953993008072,0.03485181970810915
44,0.04959701264322089,0.05087037575155947,0.06545333530251256,0.19073266687783222,0.1919227749365338,-0.8468834106614282,-0.7197500698541368,-0.6257665019662736,-1.5516553800486288,-2.1300485612943083
45,0.04970457014875247,0.051115088502471165,0.06552102535466031,0.19076156039825973,-0.60110600732677,0.44743896358381,-0.5598954701589095,-0.6355265242686062,-0.7133898208391141,-0.33840686667161723
46,0.04966504261541893,0.05095901012209481,0.06545250603679495,0.190689905649641,-0.5110151832925163,1.6431834289472036,1.583340273903027,-0.2939257436869632,0.4472855688356085,0.781369192467562
47,0.04964585004537765,0.05090388102524097,0.06545333530251256,0.19075646332030238,-0.2846404693975283,-0.2877183229926592,-0.3266261654184667,-0.47448615628011737,0.18935770446344588,0.10950355698405018
48,0.04971536281339506,0.051002973450535845,0.06545333530251256,0.1907101763580591,-0.36985376474202947,-0.43140815627806,-0.014021614903355512,-0.027965135948398345,0.12487573837040981,-0.4130586039475689
49,0.04971400206315477,0.05094109411254405,0.06555966347032996,0.19074353631336802,-0.6352487081550382,-0.2643269547834079,-0.8523701821938809,-0.6111264685127745,-0.7133898208391141,-0.0397999175678425
50,0.049634992860093825,0.05097476950678984,0.06545333530251256,0.1907063236663466,-0.6318057467269775,-1.1743625655909464,-0.8417132088808658,-0.4598461228266184,0.7696953993008072,0.03485181970810915
51,0.04990463762515718,0.05155646524112281,0.06545278840842808,0.19068992910172525,-0.5460186244777996,2.1839695844515608,4.9189729208767705,4.325004810891966,1.5434789924172767,1.3039313533991703
52,0.049663091073688555,0.05095276789785716,0.06562979829177146,0.1909471300987488,0.9863861244615296,0.9759724976452262,0.16596282327201153,0.011074953260932281,-1.0357996513043128,-0.7863172903272952
53,0.049666384101633806,0.051014657441212446,0.06545333530251256,0.19070940504370823,-0.7689503769447269,-0.8296183531736475,-0.43201179040272764,-0.29148573811138007,1.156587195859042,0.3334587688118839
54,0.04973489926566421,0.0512621071566842,0.06545333530251256,0.19075038253999196,-0.8053883853917022,-0.0415520194572051,-0.6191008774534381,-0.23536560987296729,-0.5199439225599876,-0.6370138157754026
55,0.04968076137541271,0.0509955624070037,0.0654787954449341,0.19071134276754878,-0.6920575717180389,-0.05603239025340828,1.0031272824166464,1.3725980644363378,1.0921052297660059,0.856020929743503
56,0.04973746130144688,0.051029845291177045,0.06545333530251256,0.19072650594343538,-0.4496157044921013,0.14892055024669829,0.24648217719257046,0.4697960014705671,0.7696953993008072,0.856020929743503
57,0.0496526501821491,0.05095863302426181,0.06554673693811368,0.1907564898992891,0.11560379661452266,-1.1738056282526308,-1.0939282439555578,-0.6745666134779368,-0.9713176852112675,-1.010272502155129
58,0.049680172946289375,0.05096512498581725,0.06552593513304544,0.19075676508985837,0.26451187837814594,-0.7109907001124445,-0.9246007790932058,-0.6257665019662736,-0.2620160581878341,0.10950355698405018
59,0.04970409197445861,0.05101932129730967,0.06545273987600063,0.19068992507091465,0.15634550684657372,2.5671424732126296,1.8012161727468923,0.9773171611918653,-0.5199439225599876,-0.0397999175678425
60,0.049702421844802454,0.0509903462903871,0.06564398414482403,0.19073800475603986,-0.6759904183870893,0.39063135507562835,0.4454123457021867,0.6967165199998013,0.705213433207762,0.930672667019444
61,0.049438268138369226,0.050705432173174775,0.0654517918747935,0.1906898463356539,-0.35005673653068076,-0.3283747486896912,-0.40122497860957274,-0.3842059499835403,-0.13305212600175279,-0.0397999175678425
62,0.04964991547765708,0.05092948066923842,0.06545333530251256,0.1907878649457453,-0.089826235259763,-0.6452720941912147,-0.6558082299760458,-0.48180617300686684,0.25383967055648193,-0.0397999175678425
63,0.04977590315651335,0.05135610921619507,0.065452643871872,0.19068991709739092,0.1973741305309632,1.727280967032845,0.7390711658830487,-0.40860600573937195,-0.7778717869321502,-0.0397999175678425
64,0.1125631976624835,0.09255791247809689,0.06545333530251256,-5.727216849390562,-0.35005673653068076,-0.3283747486896912,-0.40122497860957274,-0.3842059499835403,-1.0357996513043128,-0.7116655530513436
65,0.1125631976624835,0.09255791247809689,0.06545333530251256,-2.5253898047758137,-0.35005673653068076,-0.3283747486896912,-0.40122497860957274,-0.3842059499835403,0.18935770446344588,0.10950355698405018
66,0.04973186191739561,0.05115535207901611,0.06545269932554464,0.19068992170303842,-0.45478014663419225,2.381682339553566,2.3293284058140875,0.9553571110116168,0.6407314671147258,0.5574139806397176
67,0.1125631976624835,0.09255791247809689,0.06545333530251256,-1.143404627399363,-0.35005673653068076,-0.3283747486896912,-0.40122497860957274,-0.3842059499835403,-1.1002816173973489,-1.3088794512589144
68,0.04959278592352282,0.0509258078184337,0.06545333530251256,0.19071656466619927,0.07945270161988581,-0.867490092179102,-0.9305213198226587,-0.5867264127569429,-0.0040881938156714865,-0.11445165484378353
69,0.049680461043746335,0.05103484564688581,0.06545333530251256,0.1907197429366529,-0.593646257565972,0.20182959738667144,0.9533947402892423,1.211557696447849,1.221069161952078,1.1546278788472883
70,0.04965478220579533,0.05089517252670854,0.06566491166333505,0.19073884736055796,-0.6355356216073765,-0.12620649488116217,0.06649773901720342,-0.3305258273207107,0.705213433207762,0.40811050608783556
71,0.049561010457290125,0.05093852032275989,0.0655709088698793,0.19071942437614162,-0.09613833121120753,-0.8429848492932197,-0.9553875908863607,-0.6721266079023537,-0.19753409209478887,-0.5623620784994616
72,0.04957448215154197,0.05086848426582823,0.06554804876510754,0.19072125690066705,-0.3899377064057166,-0.7911896768298775,-0.8890775347164886,-0.6355265242686062,-0.9068357191182315,-0.4877103412235099
73,0.04974795348045609,0.05105393504436742,0.06545279852236925,0.1906899299417282,-0.16126768489202156,3.50669576295089,2.853888314443611,1.2652378191106786,0.38280360274256325,0.18415529425999122
74,0.04969395393956693,0.05100729815666681,0.06545333530251256,0.19076169210130248,0.536792744647276,-0.8981216457864549,-0.9317054279685493,-0.5550063402743618,0.12487573837040981,0.03485181970810915
