,Scores
A to B band property counts,-0.12522850451925854
C D property counts,0.008227065408696863
E F property counts,-0.09118355703911385
G H property counts,0.32592074245732516
ratio by lower quatile,0.4089525268433968
ratio by medians,0.21901304621378653
Taxi only licensed drivers,-0.0013169532705825154
total drivers,-0.010575605909590073
Education,0.20909349632812219
Health,-0.083136119018858
"Arts, entertainment, recreation & other services",0.002348482458874665
